"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"html-keyboard-response","153","591454","0.0-155.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","154","593259","0.0-156.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","155","606746","0.0-157.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","13485.66500004381","","./audio/sim_N95_Pink5_CA03_07.wav","","0","","","","","{""Transcription"":""her curse was told a useless frown""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","156","608549","0.0-158.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","157","615698","0.0-159.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","7146","","./audio/sim_N95_Pink5_CA03_07.wav","","0","","","","","","1440 x 900","100","","","","","","","","","","","",""
"html-keyboard-response","158","616204","0.0-160.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95_Pink5_CA03_07.wav","","","","","","null","","","","true","","25","2","","","","","","","",""
"html-keyboard-response","159","617211","0.0-161.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","160","619016","0.0-162.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","161","628405","0.0-163.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","9387.099999934435","","./audio/sim_nm_Babble5_CA02_07.wav","","0","","","","","{""Transcription"":""the smoking fire had black flame""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","162","630209","0.0-164.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","163","635509","0.0-165.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","5300","","./audio/sim_nm_Babble5_CA02_07.wav","","0","","","","","","1440 x 900","60","","","","","","","","","","","",""
"html-keyboard-response","164","636014","0.0-166.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_nm_Babble5_CA02_07.wav","","","","","","null","","","","true","","26","2","","","","","","","",""
"html-keyboard-response","165","637017","0.0-167.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","166","638822","0.0-168.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","167","651116","0.0-169.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","12291.799999773502","","./audio/sim_N95-fs_Pink5_CA03_08.wav","","0","","","","","{""Transcription"":""the cold beer entered the call ride""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","168","652923","0.0-170.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","169","657826","0.0-171.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","4899","","./audio/sim_N95-fs_Pink5_CA03_08.wav","","0","","","","","","1440 x 900","100","","","","","","","","","","","",""
"html-keyboard-response","170","658327","0.0-172.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95-fs_Pink5_CA03_08.wav","","","","","","null","","","","true","2","27","2","","","","","","11","NaN","NaN"
"html-keyboard-response","171","659332","0.0-173.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","172","661134","0.0-174.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","173","672536","0.0-175.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","11399.55999981612","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","0","","","","","{""Transcription"":""the girl at the booth sold her farm""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","174","674338","0.0-176.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","175","680152","0.0-177.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","5811","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","0","","","","","","1440 x 900","75","","","","","","","","","","","",""
"html-keyboard-response","176","680654","0.0-178.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_sm-fs_Pink0_CA02_10.wav","","","","","","null","","","","true","","28","2","","","","","","","",""
"html-keyboard-response","177","681659","0.0-179.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","178","683464","0.0-180.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","179","702581","0.0-181.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","19114.34999993071","","./audio/sim_sm-fs_Babble0_CA01_08.wav","","0","","","","","{""Transcription"":""the hardest snacks are popcorn and barbecue""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","180","704384","0.0-182.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","181","708225","0.0-183.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3837","","./audio/sim_sm-fs_Babble0_CA01_08.wav","","0","","","","","","1440 x 900","88","","","","","","","","","","","",""
"html-keyboard-response","182","708731","0.0-184.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_sm-fs_Babble0_CA01_08.wav","","","","","","null","","","","true","5","29","2","","","","","","15","NaN","NaN"
"html-keyboard-response","183","709737","0.0-185.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","184","711542","0.0-186.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","185","721528","0.0-187.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","9983.580000232905","","./audio/sim_sm_Babble5_CA02_03.wav","","0","","","","","{""Transcription"":""the source of the huge river is the clear spring""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","186","723332","0.0-188.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","187","727898","0.0-189.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","4563","","./audio/sim_sm_Babble5_CA02_03.wav","","0","","","","","","1440 x 900","32","","","","","","","","","","","",""
"html-keyboard-response","188","728400","0.0-190.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_sm_Babble5_CA02_03.wav","","","","","","null","","","","true","1","30","2","","","","","","13","NaN","NaN"
"html-keyboard-response","189","729404","0.0-191.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","190","731210","0.0-192.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","191","738244","0.0-193.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","7033.179999794811","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","0","","","","","{""Transcription"":""a pot of tea helps to pass the time""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","192","740049","0.0-194.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","193","743380","0.0-195.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3326","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","0","","","","","","1440 x 900","13","","","","","","","","","","","",""
"html-keyboard-response","194","743884","0.0-196.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95-fs_Babble5_CA02_06.wav","","","","","","null","","","","true","6","31","2","","","","","","30","NaN","NaN"
"html-keyboard-response","195","744886","0.0-197.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","196","746689","0.0-198.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","197","753249","0.0-199.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","6559.06999995932","","./audio/sim_N95_Babble0_CA01_09.wav","","0","","","","","{""Transcription"":""NA""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","198","755051","0.0-200.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","199","758491","0.0-201.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3437","","./audio/sim_N95_Babble0_CA01_09.wav","","0","","","","","","1440 x 900","100","","","","","","","","","","","",""
"html-keyboard-response","200","758998","0.0-202.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95_Babble0_CA01_09.wav","","","","","","null","","","","true","","32","2","","","","","","","",""
